region,incgroup,offshore,country,cntrycode,bankname 2013,bankname 2009,spec,index_consol,cons_code,index_unconsol,unconsol_code,ISIN,Ticker,Swift,yoe,yoi,note_2009,note_2013,added2014,active2013,own1995,own1996,own1997,own1998,own1999,own2000,own2001,own2002,own2003,own2004,own2005,own2006,own2007,own2008,own2009,own2010,own2011,own2012,own2013,ownsou1995,ownsou1996,ownsou1997,ownsou1998,ownsou1999,ownsou2000,ownsou2001,ownsou2002,ownsou2003,ownsou2004,ownsou2005,ownsou2006,ownsou2007,ownsou2008,ownsou2009,ownsou2010,ownsou2011,ownsou2012,ownsou2013
LAC,EM,0,JAMAICA,JAM,Sagicor Bank Jamaica Limited,Sagicor Bank Jamaica Limited,Commercial Banks,50386,U1,50386,U1,Unlisted,Unlisted,,2008,,,,1,Active,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,BARBADOS,BARBADOS,BARBADOS,BARBADOS,BARBADOS,BARBADOS
LAC,EM,0,JAMAICA,JAM,Workers Savings and Loan Bank,Workers Savings and Loan Bank,Commercial Banks,31746,C1,31746,C1,JMP988451036,Delisted,,1973,1999,"Established on August 14, 1973. In 1999, Workers Savings and Loan Bank was absorbed by RBTT Bank Jamaica Limited.",,0,Dissolved,0,0,0,0,,,,,,,,,,,,,,,,DOM,DOM,DOM,DOM,,,,,,,,,,,,,,,
OECD,OECD,0,JAPAN,JPN,77 Bank (The),77 Bank (The),Commercial Banks,47962,C2,30216,U2,JP3352000008,8341,BOSS JP JT,1878,,Established in 1878.,,0,Active,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM
OECD,OECD,0,JAPAN,JPN,Aichi Bank,Aichi Bank,Commercial Banks,32872,C2,17118,U2,JP3103000000,8527,AICH JP JN,1910,,"Established in 1910 as Nihon Chochiku Kogyo Limited. In 1989, its name changed to Aichi Bank.",,0,Active,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM
OECD,OECD,0,JAPAN,JPN,Akita Bank Ltd,Akita Bank Ltd,Commercial Banks,32665,C2,17119,U2,JP3107600003,8343,AKIT JP JT,1879,,Established in 1879.,,0,Active,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM
OECD,OECD,0,JAPAN,JPN,Amagasaki Shinkin Bank,Amagasaki Shinkin Bank,Cooperative Bank,34498,U1,34498,U1,,Unlisted,AMAS JP JZ,1921,,"Established in 1921. In 2002, transfer of business from Kansai Nishinomiya Shinkin Bank to Amagasaki Shinkin Bank, Himeji Shinkin Bank, Hyogo Shinkin Bank and Kobe Shinkin Bank.",,0,Active,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM
OECD,OECD,0,JAPAN,JPN,Aomori Bank Ltd. (The),Aomori Bank Ltd. (The),Commercial Banks,30643,C2,17120,U2,JP3106000007,8342,AOMB JP JT,1943,,Established in 1943.,,0,Active,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM
OECD,OECD,0,JAPAN,JPN,Asahi Bank Ltd,Asahi Bank Ltd,Commercial Banks,36358,C2,36345,U2,JP3112200005,Delisted,,1991,2003,"Established on April 1, 1991 as The Kyowa Saitama Bank Ltd, through the merger between Saitama Bank, Ltd. (The) and Kyowa Bank Limited. On September 21, 1992 its name changed to Asahi Bank Ltd. On March 1, 2003, Asahi Bank Ltd was absorbed by Resona Bank Ltd.",,0,Dissolved,0,0,0,0,0,0,0,0,,,,,,,,,,,,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,,,,,,,,,,,
OECD,OECD,0,JAPAN,JPN,Ashikaga Bank Ltd.,Ashikaga Bank Ltd.,Commercial Banks,47963,C2,30891,U2,JP3117600001,Delisted,ASIK JP JT,1895,,"Established on January 10, 1895.",,0,Active,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM
OECD,OECD,0,JAPAN,JPN,Awa Bank (The),Awa Bank (The),Commercial Banks,31552,C2,17156,U2,JP3126800006,8388,AWAB JP JT,1896,,"Established on June 21, 1896 as Awa Commercial Bank Ltd. In 1964, its name changed to Awa Bank.",,0,Active,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM,DOM
